movie_id,genre_id
315946,99
766094,16
751212,16
585297,16
159897,99
1191584,
16463,99
96882,99
16464,99
335765,99
355995,99
32406,99
355764,99
32571,99
33315,99
33316,99
33317,
386743,99
355846,99
33229,99
33318,99
104852,99
355999,
355997,
355851,
355848,
336380,99
312452,99
416258,99
88013,35
88013,16
16622,16
16613,16
105153,99
355936,36
355936,99
355757,
16624,18
16624,99
105160,99
159896,16
152218,18
159904,99
159904,37
155107,99
155107,37
16612,99
105158,99
104396,10402
356154,
159895,99
154339,99
356155,35
152215,99
152215,35
159905,99
189054,99
751244,16
356151,10749
82120,35
34372,36
194085,99
144410,99
194081,99
122134,99
122134,10751
189056,99
127777,99
129436,18
129436,99
133063,14
133063,27
104462,35
104462,27
147554,14
147554,10751
160,99
126413,99
194583,99
194562,99
190560,99
144391,99
144391,35
49296,35
49296,14
104700,14
104702,14
49295,35
114108,18
114108,10751
114108,14
114108,10749
195620,80
195620,14
195620,9648
144432,16
144432,35
144432,14
179236,18
154171,35
105303,35
195626,18
49280,35
49280,14
49280,10402
1137292,
193408,99
179235,10749
179235,35
106814,35
49279,35
49279,14
185219,10749
185219,35
49275,18
49275,27
49275,14
775,12
775,878
108292,14
190669,878
108278,27
108278,14
5698,80
5698,28
5698,37
5698,12
16465,14
16465,27
49273,35
49273,10402
44449,14
44449,27
127097,14
44335,35
44335,14
44333,14
44324,14
44324,35
2963,12
2963,35
2963,14
2963,878
44330,35
44342,14
44342,35
20105,80
20105,18
20105,28
20105,36
49272,14
49272,27
134750,35
134750,16
49277,14
49277,35
137757,35
137757,14
137757,27
196287,35
120026,35
49278,35
49278,14
49278,10749
49298,35
350807,16
350807,35
350807,14
144440,35
144440,14
49271,14
49271,35
232957,35
193988,35
49281,35
49281,16
113194,12
113194,878
113194,14
71266,18
71266,36
127271,37
193833,
191911,
105408,18
105408,53
105408,27
110803,35
110803,14
618,18
618,36
618,10752
126925,
265051,35
265051,18
13707,35
3059,18
3059,36
174598,14
174598,18
174711,10749
174711,36
174711,18
36822,18
36822,35
95866,18
95866,35
95866,14
174708,18
174708,10749
174708,37
174731,80
174731,9648
174731,12
76951,28
76951,12
70753,18
53637,35
48263,35
48263,10749
72497,10749
72497,28
72497,35
899,18
899,10749
234,18
234,27
234,53
234,80
108988,35
108988,18
108988,10751
77621,18
77621,10749
77621,80
42511,18
42511,36
42511,10749
10098,35
10098,18
155953,18
58129,18
58129,14
58129,27
653,27
28480,18
28480,10749
175594,18
175594,36
171432,9648
171432,18
171432,12
