movie_id,title,original_title,original_language,popularity,release_date,year,vote_average,vote_count,imdbid,bechdel_rating,bechdel_dubious,bechdel_id,bechdel_date
22582,Tom and Jerry: The Movie,Tom and Jerry: The Movie,en,22.371,1992-10-01,1992,6.3,579,105616,3,0,7191,2016-10-12
11782,Hard Boiled,辣手神探,cn,23.132,1992-04-16,1992,7.5,793,104684,0,0,7245,2016-11-06
10407,Housesitter,Housesitter,en,13.519,1992-06-12,1992,6.1,434,104452,1,0,7640,2017-05-21
10497,Bitter Moon,Bitter Moon,en,31.25,1992-09-02,1992,7.11,759,104779,3,0,8287,2018-06-14
12525,Critters 4,Critters 4,en,10.034,1992-08-20,1992,5.0,299,101628,1,0,8393,2018-08-31
12772,Leap of Faith,Leap of Faith,en,10.521,1992-12-18,1992,5.7,206,104695,2,0,8583,2019-01-03
10406,Encino Man,Encino Man,en,14.77,1992-05-22,1992,5.8,648,104187,1,0,8622,2019-01-31
619,The Bodyguard,The Bodyguard,en,34.593,1992-11-25,1992,6.692,2958,103855,2,0,8991,2020-01-27
124088,Just Another Girl on the I.R.T.,Just Another Girl on the I.R.T.,en,1.954,1993-03-19,1993,6.7,18,104575,1,0,9000,2020-02-04
11087,The Hand that Rocks the Cradle,The Hand that Rocks the Cradle,en,15.72,1992-01-10,1992,6.864,886,104389,3,0,9922,2021-07-02
74714,Diên Biên Phu,Diên Biên Phu,fr,4.406,1992-03-04,1992,6.257,37,104105,0,0,9107,2020-05-02
10995,The Lover,L'Amant,fr,26.117,1992-01-22,1992,7.0,678,101316,1,0,9221,2020-08-03
23939,Stay Tuned,Stay Tuned,en,7.402,1992-08-14,1992,6.1,170,105466,2,0,9242,2020-08-15
10409,Strictly Ballroom,Strictly Ballroom,en,13.036,1992-08-20,1992,6.6,344,105488,1,0,9331,2020-11-15
10538,Passenger 57,Passenger 57,en,22.987,1992-11-06,1992,5.974,1006,105104,1,0,9785,2021-05-02
6547,Schtonk!,Schtonk!,de,5.298,1992-03-12,1992,7.0,67,105328,3,0,9812,2021-05-12
329,Jurassic Park,Jurassic Park,en,38.034,1993-06-11,1993,8.0,16352,107290,3,,109,2008-07-31
137,Groundhog Day,Groundhog Day,en,46.688,1993-02-11,1993,7.6,8028,107048,2,,114,2008-07-31
9739,Demolition Man,Demolition Man,en,33.237,1993-10-08,1993,6.7,3679,106697,0,,117,2008-07-31
788,Mrs. Doubtfire,Mrs. Doubtfire,en,44.725,1993-11-24,1993,7.193,6121,107614,3,0,436,2009-08-10
10498,Point of No Return,Point of No Return,en,14.882,1993-03-19,1993,6.2,694,107843,3,0,543,2009-11-13
858,Sleepless in Seattle,Sleepless in Seattle,en,39.173,1993-06-24,1993,6.738,2342,108160,2,0,556,2009-12-06
21057,Ocean Waves,海がきこえる,ja,22.123,1994-10-07,1994,6.393,872,108432,3,0,558,2009-12-08
10439,Hocus Pocus,Hocus Pocus,en,30.672,1993-07-16,1993,7.04,3021,107120,3,0,587,2009-12-27
10419,Swing Kids,Swing Kids,en,10.486,1993-03-05,1993,6.697,228,108265,1,0,727,2010-04-07
10440,Manhattan Murder Mystery,Manhattan Murder Mystery,en,11.174,1993-05-02,1993,7.3,1076,107507,3,0,810,2010-05-16
47889,Ruby in Paradise,Ruby in Paradise,en,4.222,1993-10-08,1993,6.0,32,108000,3,0,852,2010-05-27
9571,Dazed and Confused,Dazed and Confused,en,40.592,1993-09-24,1993,7.3,2035,106677,3,0,861,2010-05-28
11528,The Sandlot,The Sandlot,en,23.298,1993-04-07,1993,7.5,1176,108037,0,0,899,2010-06-04
14135,Bad Boy Bubby,Bad Boy Bubby,en,9.808,1993-09-01,1993,6.983,263,106341,1,0,950,2010-06-16
108,Three Colors: Blue,Trois couleurs : Bleu,fr,18.988,1993-09-08,1993,7.7,1691,108394,3,0,984,2010-06-26
8005,Robin Hood: Men in Tights,Robin Hood: Men in Tights,en,22.885,1993-07-28,1993,6.593,2071,107977,3,0,1067,2010-07-04
864,Cool Runnings,Cool Runnings,en,18.39,1993-10-01,1993,6.991,2038,106611,1,0,1602,2010-09-23
18215,Boxing Helena,Boxing Helena,en,14.235,1993-03-22,1993,5.081,228,106471,1,0,1517,2010-08-31
9261,The Wedding Banquet,喜宴,zh,11.455,1993-03-01,1993,7.2,243,107156,3,0,1195,2010-07-19
6878,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey,en,21.716,1993-02-03,1993,6.949,1013,107131,1,0,1088,2010-07-04
11566,Dave,Dave,en,12.085,1993-05-07,1993,6.648,748,106673,3,0,1133,2010-07-09
11236,The Secret Garden,The Secret Garden,en,19.365,1993-08-13,1993,7.4,894,108071,3,0,1434,2010-08-03
2758,Addams Family Values,Addams Family Values,en,37.12,1993-11-19,1993,6.955,3006,106220,3,0,1436,2010-08-03
6279,Sister Act 2: Back in the Habit,Sister Act 2: Back in the Habit,en,25.635,1993-12-09,1993,6.361,1799,108147,3,0,1353,2010-07-27
12661,Undercover Blues,Undercover Blues,en,7.239,1993-09-10,1993,6.0,154,108442,1,0,1097,2010-07-04
424,Schindler's List,Schindler's List,en,90.463,1993-12-15,1993,8.6,15978,108052,3,0,1497,2010-08-23
156054,The Sword of Many Lovers,飛狐外傳,cn,3.499,1993-08-20,1993,6.2,3,104246,2,0,1637,2010-10-04
20435,Death Train,Death Train,en,6.084,1993-04-14,1993,4.9,68,106689,3,0,1666,2010-10-16
34444,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,en,6.665,1994-05-13,1994,4.4,126,106834,3,0,1790,2010-11-30
26141,Fatal Instinct,Fatal Instinct,en,7.947,1993-10-29,1993,5.4,143,106873,3,1,1856,2010-12-18
26672,The Thief and the Cobbler,The Thief and the Cobbler,en,9.016,1993-09-23,1993,7.1,123,112389,0,0,1940,2011-01-29
69703,The Trial,The Trial,en,4.384,1993-06-18,1993,5.8,27,108388,1,0,2182,2011-04-11
713,The Piano,The Piano,en,20.458,1993-05-18,1993,7.38,1488,107822,3,1,2230,2011-04-23
33539,Once Upon a Forest,Once Upon a Forest,en,10.157,1993-06-18,1993,6.6,128,107745,3,1,2492,2011-07-06
9479,The Nightmare Before Christmas,The Nightmare Before Christmas,en,80.465,1993-10-09,1993,7.8,9601,107688,1,0,2543,2011-07-16
7500,Sonatine,Sonatine,ja,14.537,1993-09-10,1993,7.498,633,108188,0,0,2847,2011-11-19
1689,Little Buddha,Little Buddha,en,15.01,1993-12-01,1993,6.3,406,107426,1,0,2892,2011-12-02
5503,The Fugitive,The Fugitive,en,22.743,1993-08-06,1993,7.47,4250,106977,2,0,2916,2011-12-10
19931,The Joy Luck Club,The Joy Luck Club,en,10.461,1993-09-08,1993,7.1,144,107282,3,0,3088,2012-03-04
10436,The Age of Innocence,The Age of Innocence,en,18.209,1993-09-10,1993,7.0,1099,106226,3,0,3097,2012-03-09
