Country,Broadcaster,Artist,Song,Language,Songwriter(s)
Albania,RTSH,Juliana Pasha,"""It's All About You""",English,Pirro ÇakoArdit Gjebrea
Armenia,AMPTV,Eva Rivas,"""Apricot Stone""",English,Karen KavaleryanArmen Martirosyan
Azerbaijan,İTV,Safura,"""Drip Drop""",English,Anders BaggeSandra BjurmanStefan Örn
Belarus,BTRC,3+2 feat. Robert Wells,"""Butterflies""",English,Malka ChaplinMaxim Fadeev
Belgium,VRT,Tom Dice,"""Me and My Guitar""",English,Tom DiceAshley HicklinJeroen Swinnen
Bosnia and Herzegovina,BHRT,Vukašin Brajić,"""Thunder and Lightning""",English,Dino Šaran
Bulgaria,BNT,Miro,"""Angel si ti"" (Ангел си ти)","Bulgarian, English",Gordon DavisMiroslav KostadinovMihail Mihailov
Croatia,HRT,Feminnem,"""Lako je sve""",Croatian,Branimir MihaljevićNeda ParmaćPamela Ramljak
Cyprus,CyBC,Jon Lilygreen and the Islanders,"""Life Looks Better in Spring""",English,Melis KonstantinouNasos Lambrianides
Denmark,DR,Chanée and N'evergreen,"""In a Moment like This""",English,Erik BernholmThomas G:sonHenrik Sethsson
Estonia,ERR,Malcolm Lincoln,"""Siren""",English,Robin Juhkental
Finland,YLE,Kuunkuiskaajat,"""Työlki ellää""",Finnish,Timo Kiiskinen
France,France Télévisions,Jessy Matador,"""Allez Ola Olé""",French,Jacques BallueHugues Ducamin
Georgia,GPB,Sofia Nizharadze,"""Shine""",English,Christian LeuzziHarry SommerdahlHanne Sørvaag
Germany,NDR[a],Lena,"""Satellite""",English,Julie FrostJohn Gordon
Greece,ERT,Giorgos Alkaios and Friends,"""Opa"" (Ώπα)",Greek,Giorgos AlkaiosGiannis Antoniou and Friends
Iceland,RÚV,Hera Björk,"""Je ne sais quoi""",English,Hera BjörkÖrlygur Smári
Ireland,RTÉ,Niamh Kavanagh,"""It's for You""",English,Lina ErikssonMårten ErikssonJonas GladnikoffNiall Mooney
Israel,IBA,Harel Skaat,"""Milim"" (מילים)",Hebrew,Tomer AdaddiNoam Horev
Latvia,LTV,Aisha,"""What For?""",English,Jānis LūsēnsGuntars Račs
Lithuania,LRT,InCulto,"""Eastern European Funk""",English,InCulto
Macedonia,MRT,Gjoko Taneski[b],"""Jas ja imam silata"" (Јас ја имам силата)",Macedonian,Kristijan Gabrovski
Malta,PBS,Thea Garrett,"""My Dream""",English,Sunny AquilinaJason Cassar
Moldova,TRM,SunStroke Project and Olia Tira,"""Run Away""",English,Alina GaletskayaAnton RagozaSergey Stepanov
Netherlands,TROS,Sieneke,"""Ik ben verliefd (Sha-la-lie)""",Dutch,Pierre Kartner
Norway,NRK,Didrik Solli-Tangen,"""My Heart Is Yours""",English,Fredrik KempeHanne Sørvaag
Poland,TVP,Marcin Mroziński,"""Legenda""","English, Polish",Marcin MrozińskiMarcin Nierubiec
Portugal,RTP,Filipa Azevedo,"""Há dias assim""",Portuguese,Augusto Madureira
Romania,TVR,Paula Seling and Ovi,"""Playing with Fire""",English,Ovidiu Cernăuțeanu
Russia,RTR,Peter Nalitch and Friends,"""Lost and Forgotten""",English,Peter Nalitch
Serbia,RTS,Milan Stanković,"""Ovo je Balkan"" (Oво je Балкан)",Serbian,Goran BregovićLjiljana JorgovanovićMarina Tucaković
Slovakia,STV,Kristína,"""Horehronie""",Slovak,Martin KavuličKamil Peteraj
Slovenia,RTVSLO,Ansambel Žlindra and Kalamari,"""Narodnozabavni rock""",Slovene,Marino LegovičLeon Oblak
Spain,RTVE,Daniel Diges,"""Algo pequeñito""",Spanish,Jesús CañadillaDaniel DigesAlberto JodarLuis Miguel de la Varga
Sweden,SVT,Anna Bergendahl,"""This Is My Life""",English,Kristian LagerströmBobby Ljunggren
Switzerland,SRG SSR,Michael von der Heide,"""Il pleut de l'or""",French,André GrüterMichael von der HeideHeike KospachPele Loriano
Turkey,TRT,Manga,"""We Could Be the Same""",English,MangaFiona Movery AkıncıEvren Özdemir
Ukraine,NTU,Alyosha,"""Sweet People""",English,Borys KukobaOlena KucherVadim Lisitsa
United Kingdom,BBC,Josh Dubovie,"""That Sounds Good to Me""",English,Steve CrosbyMike StockPete Waterman
