,,Contestants,Total score,Romania,Ireland,Germany,Serbia,Albania,Turkey,Croatia,Poland,Bosnia and Herzegovina,Finland,Slovenia,Estonia,Russia,Portugal,Azerbaijan,Greece,Iceland,Denmark,France,Spain,Slovakia,Bulgaria,Ukraine,Latvia,Malta,Norway,Cyprus,Lithuania,Belarus,Switzerland,Belgium,United Kingdom,Netherlands,Israel,Macedonia,Moldova,Georgia,Sweden,Armenia,Italy,Austria,San Marino,Hungary,Montenegro,Australia,Czech Republic,Jury score,Televoting score,North Macedonia
euro_2010,13,Turkey,170.0,8.0,1.0,10.0,3.0,8.0,0.0,12.0,0.0,10.0,3.0,2.0,6.0,0.0,0.0,12.0,0.0,0.0,6.0,12.0,3.0,0.0,10.0,8.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,6.0,10.0,8.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,14,Albania,62.0,1.0,0.0,1.0,0.0,0.0,7.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,15,Iceland,41.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,16,Ukraine,108.0,5.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,6.0,6.0,10.0,0.0,0.0,5.0,7.0,2.0,0.0,8.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,17,France,82.0,0.0,6.0,3.0,4.0,0.0,0.0,3.0,0.0,3.0,8.0,3.0,1.0,0.0,7.0,0.0,8.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,18,Romania,162.0,0.0,7.0,0.0,6.0,5.0,2.0,0.0,6.0,2.0,0.0,7.0,0.0,3.0,10.0,7.0,4.0,5.0,8.0,0.0,10.0,1.0,0.0,2.0,3.0,5.0,10.0,8.0,2.0,1.0,4.0,0.0,8.0,5.0,8.0,0.0,12.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,19,Russia,90.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,8.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,20,Armenia,141.0,6.0,0.0,7.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,6.0,8.0,4.0,8.0,6.0,1.0,0.0,0.0,7.0,0.0,5.0,0.0,7.0,0.0,12.0,12.0,4.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,21,Germany,246.0,3.0,8.0,0.0,8.0,10.0,10.0,6.0,7.0,8.0,12.0,10.0,12.0,6.0,1.0,1.0,2.0,3.0,12.0,3.0,12.0,12.0,3.0,5.0,12.0,4.0,12.0,4.0,10.0,0.0,12.0,10.0,4.0,4.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,22,Portugal,43.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,23,Israel,71.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2010,24,Denmark,149.0,12.0,12.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,2.0,12.0,5.0,1.0,4.0,4.0,0.0,12.0,0.0,0.0,4.0,7.0,0.0,0.0,10.0,8.0,8.0,0.0,3.0,0.0,0.0,2.0,6.0,2.0,4.0,2.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,0,Finland,57.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,1,Bosnia and Herzegovina,125.0,0.0,0.0,7.0,12.0,7.0,10.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,8.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,2,Denmark,134.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,6.0,7.0,0.0,6.0,5.0,7.0,3.0,0.0,1.0,0.0,0.0,5.0,12.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,3,Lithuania,63.0,1.0,10.0,0.0,7.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,4,Hungary,53.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,5,Ireland,119.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,12.0,0.0,7.0,8.0,3.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,6,Sweden,185.0,3.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,6.0,4.0,12.0,1.0,0.0,3.0,6.0,7.0,10.0,10.0,5.0,10.0,0.0,1.0,0.0,6.0,10.0,10.0,0.0,4.0,0.0,4.0,3.0,10.0,12.0,6.0,3.0,1.0,0.0,4.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
